,0
DEP_TIME,25164
DEP_DELAY,25229
DEP_DELAY_NEW,25229
DEP_DEL15,25229
ARR_TIME,25838
ARR_DELAY,26781
ARR_DELAY_NEW,26781
ARR_DEL15,26781
ACTUAL_ELAPSED_TIME,26781
AIR_TIME,26781
