YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_TIME_BLK,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,601,12478,JFK,"New York, NY",NY,11697,FLL,"Fort Lauderdale, FL",FL,550,,,,,0001-0559,856,,,,,0800-0859,1.0,0.0,186.0,,,1069.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,834,14843,SJU,"San Juan, PR",PR,13204,MCO,"Orlando, FL",FL,501,,,,,0001-0559,714,,,,,0700-0759,1.0,0.0,193.0,,,1188.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,968,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,12197,HPN,"White Plains, NY",NY,610,,,,,0600-0659,900,,,,,0900-0959,1.0,0.0,170.0,,,1056.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,DL,1368,13495,MSY,"New Orleans, LA",LA,12478,JFK,"New York, NY",NY,1225,,,,,1200-1259,1628,,,,,1600-1659,1.0,0.0,183.0,,,1182.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,DL,2186,14747,SEA,"Seattle, WA",WA,11630,FAI,"Fairbanks, AK",AK,2153,,,,,2100-2159,45,,,,,0001-0559,1.0,0.0,232.0,,,1533.0,7
2026,1,1,1,4,1/1/2026 12:00:00 AM,DL,2408,11630,FAI,"Fairbanks, AK",AK,14747,SEA,"Seattle, WA",WA,150,,,,,0001-0559,636,,,,,0600-0659,1.0,0.0,226.0,,,1533.0,7
2026,1,1,1,4,1/1/2026 12:00:00 AM,DL,2411,12953,LGA,"New York, NY",NY,13495,MSY,"New Orleans, LA",LA,705,,,,,0700-0759,936,,,,,0900-0959,1.0,0.0,211.0,,,1183.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,DL,2411,13495,MSY,"New Orleans, LA",LA,12953,LGA,"New York, NY",NY,1042,,,,,1000-1059,1435,,,,,1400-1459,1.0,0.0,173.0,,,1183.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,DL,579,10800,BUR,"Burbank, CA",CA,14869,SLC,"Salt Lake City, UT",UT,700,,,,,0700-0759,1002,,,,,1000-1059,1.0,0.0,122.0,,,574.0,3
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,1953,10732,BQN,"Aguadilla, PR",PR,13204,MCO,"Orlando, FL",FL,355,,,,,0001-0559,557,,,,,0001-0559,1.0,0.0,182.0,,,1129.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,2173,11697,FLL,"Fort Lauderdale, FL",FL,10397,ATL,"Atlanta, GA",GA,540,,,,,0001-0559,748,,,,,0700-0759,1.0,0.0,128.0,,,581.0,3
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,2265,14843,SJU,"San Juan, PR",PR,10821,BWI,"Baltimore, MD",MD,715,,,,,0700-0759,1029,,,,,1000-1059,1.0,0.0,254.0,,,1565.0,7
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,2266,10821,BWI,"Baltimore, MD",MD,14843,SJU,"San Juan, PR",PR,1124,,,,,1100-1159,1612,,,,,1600-1659,1.0,0.0,228.0,,,1565.0,7
