DISTANCE_GROUP,ARR_DELAY
1,9.485841800077765
2,5.519438597732458
3,6.18820954589063
4,5.035884974606429
5,8.431501571842446
6,5.739325659237489
7,6.69900899780238
8,4.935237258347979
9,3.581222559945964
10,4.550338241146041
11,6.750913882512965
