OP_UNIQUE_CARRIER,ARR_DEL15
B6,31.638518518518516
NK,28.12528288223047
F9,27.974623742997906
OH,24.27088769061286
G4,24.047728315741164
AA,23.97046171494121
OO,23.092861179129777
AS,21.043451296561884
YX,20.426379462968427
MQ,20.19977318328535
DL,19.752696243037175
UA,17.95869788986104
WN,15.238330696202532
