ORIGIN,DEST,0
HNL,OGG,890
OGG,HNL,889
ORD,LGA,882
LGA,ORD,872
JFK,LAX,780
LAX,JFK,778
SFO,LAX,765
LAX,SFO,764
LAX,LAS,737
LAS,LAX,734
DEN,PHX,729
PHX,DEN,724
ATL,LGA,693
LGA,ATL,690
LIH,HNL,686
DCA,BOS,685
HNL,LIH,684
MCO,ATL,681
BOS,DCA,681
ATL,MCO,680
